cliente,projeto,sprint,inicio,fim,duracao,ciclo1,ciclo2,ciclo3,ciclo4,status,correcoes,total,retrabalho,ciclo5,num_ciclos,aceite_1ciclo,status_simplificado,atrasada,eficiencia,taxa_corretivas,score_qualidade,classificacao
CODECON,FISCALIZAÇÃO,10.0.0,29/10/2025,,13,04/11/2025,,,,Correção,1,13,7.69,,2,0,Em Correção,0,0.15384615384615385,7.6923076923076925,91.61630769230769,Excelente
LIVE,EDUCAÇÃO,5.0.0,17/10/2025,07/11/2025,22,07/11/2025,,,,Liberada/Sem QA,2,3,66.67,,2,0,Liberada,0,0.09090909090909091,66.66666666666666,50.332,Regular
SEFAZ,GESTÃO DE PROJETOS,1.0.0,22/09/2025,,50,22/10/2025,03/11/2025,,,Correção/Atrasada,18,65,27.69,,3,0,Em Correção,1,0.06,27.692307692307693,74.61630769230769,Bom
SEFAZ,GESTÃO DE PROJETOS,2.0.0,08/10/2025,,34,05/11/2025,,,,Correção/Atrasada,19,58,32.76,,2,0,Em Correção,1,0.058823529411764705,32.758620689655174,74.06841379310345,Bom
SEDUR,LICENCIAMENTO DE EVENTOS,33.0.0,27/10/2025,,15,06/11/2025,,,,Correção,1,20,5.0,,2,0,Em Correção,0,0.13333333333333333,5.0,93.5,Excelente
SEDUR,LICENCIAMENTO DE EVENTOS,34.0.0,24/10/2025,,18,03/11/2025,06/11/2025,,,Correção,12,17,70.59,,3,0,Em Correção,0,0.16666666666666666,70.58823529411765,44.587529411764706,Regular
SEDUR,FISCALIZAÇÃO,14.0.0,29/10/2025,,13,06/11/2025,,,,Correção,1,14,7.14,,2,0,Em Correção,0,0.15384615384615385,7.142857142857142,92.00114285714285,Excelente
SEMED,SIE - CORUÍPE,24.0.0,01/10/2025,,41,03/11/2025,,,,Correção/Atrasada,7,10,70.0,,2,0,Em Correção,1,0.04878048780487805,70.0,48.0,Regular
SEMOP,GESTÃO COMERCIAL,1.9.0,16/10/2025,04/11/2025,20,05/11/2025,,,,Liberada/Atrasada,0,18,0.0,,2,0,Liberada,1,0.1,0.0,97.0,Excelente
SMED,GESTÃO DE PESSOAS,10.0.0,19/09/2025,09/11/2025,52,10/11/2025,,,,Liberada/Atrasada,6,15,40.0,,2,0,Liberada,1,0.038461538461538464,40.0,69.0,Bom
SMED,SIE - SALVADOR,60.0.0,29/09/2025,05/11/2025,38,06/11/2025,,,,Liberada/Sem QA,7,16,43.75,,2,0,Liberada,0,0.05263157894736842,43.75,66.375,Bom
SEMOB,SYSMOBI,36.0.0,07/10/2025,05/11/2025,30,03/11/2025,05/11/2025,,,Liberada/Atrasada,1,21,4.76,,3,0,Liberada,1,0.1,4.761904761904762,90.66742857142857,Excelente
CODECON,FISCALIZAÇÃO,10.0.0,29/10/2025,11/11/2025,14,04/11/2025,,,,Liberada,0,3260,0.0,,2,0,Liberada,0,0.14285714285714285,0.0,97.0,Excelente
SEFAZ,GESTÃO DE PROJETOS,1.0.0,22/09/2025,10/11/2025,50,22/10/2025,03/11/2025,18/11/2025,,Liberada/Atrasada,878,7752,11.33,,4,0,Liberada,1,0.08,11.32610939112487,83.07016718266254,Excelente
SEDUR,LICENCIAMENTO DE EVENTOS,33.0.0,27/10/2025,11/11/2025,16,06/11/2025,11/11/2025,,,Liberada/Atrasada,25,4971,0.5,,3,0,Liberada,1,0.1875,0.5029169181251257,93.64912492456246,Excelente
SEDUR,FISCALIZAÇÃO,14.0.0,29/10/2025,12/11/2025,15,05/11/2025,,,,Liberada,0,9315,0.0,,2,0,Liberada,0,0.13333333333333333,0.0,97.0,Excelente
SEDUR,FISCALIZAÇÃO,15.0.0,05/11/2025,,14,13/11/2025,,,,Correção,13,3401,0.38,,2,0,Em Correção,0,0.14285714285714285,0.38224051749485444,96.73332784475154,Excelente
LIVE,SIGSUAS,15.0.0,20/10/2025,,30,10/11/2025,,,,Correção/Atrasada,2949,4870,60.55,,2,0,Em Correção,1,0.06666666666666667,60.554414784394254,54.61367556468173,Regular
SEDUR,SISTEMA DE CONTRATOS,5.0.0,30/10/2025,,20,14/11/2025,,,,Correção/Atrasada,6,8675,,,2,0,Em Correção,1,0.1,0.06916426512968299,96.9792507204611,Excelente
SMED,CONSELHO ESCOLAR,5.0.0,28/10/2025,12/11/2025,16,10/11/2025,12/11/2025,,,Liberada/Atrasada,21,1767,1.19,,3,0,Liberada,1,0.1875,1.1884550084889642,93.16746349745331,Excelente
SMED,CONSELHO ESCOLAR,6.0.0,27/10/2025,12/11/2025,1,12/11/2025,,,,Liberada,132,171,77.19,,2,0,Liberada,0,2.0,77.19298245614034,42.9661052631579,Regular
SMED,SIE - SALVADOR,61.0.0,17/10/2025,,23,11/11/2025,,,,Correção/Atrasada,4,2727,,,2,0,Em Correção,1,0.08695652173913043,0.14668133480014667,96.95599559955996,Excelente
TRANSALVADOR,SISTEMA DE SINALIZAÇÃO,10.0.0,17/10/2025,12/11/2025,57,10/11/2025,,,,Liberada/Sem QA,0,3089,0.0,,2,0,Liberada,0,0.03508771929824561,0.0,97.0,Excelente
TRANSALVADOR,SISTEMA DE SINALIZAÇÃO,12.0.0,04/11/2025,14/11/2025,11,11/11/2025,13/11/2025,,,Liberada,279,1686,16.55,,3,0,Liberada,0,0.2727272727272727,16.548042704626333,82.41558718861211,Excelente
SEFAZ,CONTRATOS,3.0.0,13/08/2025,,104,10/09/2025,17/11/2025,,,Correção/Atrasada,488,9239,5.28,,3,0,Em Correção,1,0.028846153846153848,5.2819569217447775,90.30341292347657,Excelente
SEFAZ,CONTRATOS,3.0.1,29/10/2025,,27,17/11/2025,,,,Correção/Atrasada,18,3554,0.51,,2,0,Em Correção,1,0.07407407407407407,0.5064715813168261,96.64405852560495,Excelente
SEFAZ,GESTÃO DE PROJETOS,2.0.0,08/10/2025,19/11/2025,43,05/11/2025,18/11/2025,19/11/2025,,Liberada/Atrasada,1004,11546,8.7,,4,0,Liberada,1,0.09302325581395349,8.695652173913043,84.91130434782609,Excelente
SEFAZ,GESTÃO DE PROJETOS,3.0.0,05/11/2025,,20,17/11/2025,19/11/2025,,,Correção/Atrasada,316,3873,8.16,,3,0,Em Correção,1,0.15,8.159049832171442,88.28828505034856,Excelente
SEDUR,LICENCIAMENTO DE EVENTOS,35.0.0,05/11/2025,19/11/2025,15,18/11/2025,19/11/2025,,,Liberada,73,8366,0.87,,3,0,Liberada,0,0.2,0.8725794884054507,93.39022615347837,Excelente
SEDUR,FISCALIZAÇÃO,16.0.0,12/11/2025,,13,19/11/2025,,,,Correção,11,3027,0.36,,2,0,Em Correção,0,0.15384615384615385,0.36339610175090853,96.74698116947472,Excelente
LIVE,SIGSUAS,15.0.0,20/10/2025,19/11/2025,31,10/11/2025,11/11/2025,,,Liberada/Atrasada,1368,4788,28.57,,3,0,Liberada,1,0.0967741935483871,28.57142857142857,74.00057142857142,Bom
SEMPRE,SIGSUAS,14.5.0,11/11/2025,,14,,,,,Correção,1525,2433,62.68,,1,1,Em Correção,0,0.07142857142857142,62.67981915330867,56.1240542540074,Regular
SEMOB,SYSMOBI,36.1.0,30/10/2025,,26,17/11/2025,,,,Correção/Atrasada,4,58432,0.01,,2,0,Em Correção,1,0.07692307692307693,0.006845564074479737,96.99394633077766,Excelente
SEFAZ,CONTRATOS,3.0.0,12/08/2025,28/11/2025,109,10/09/2025,17/11/2025,24/11/2025,28/11/2025,Liberada/Atrasada,5527,9316,59.33,,5,0,Liberada,1,0.045871559633027525,59.328037784456846,46.46958866466295,Regular
SEFAZ,CONTRATOS,3.0.1,29/10/2025,25/11/2025,28,17/11/2025,24/11/2025,,,Liberada/Atrasada,18,3554,0.51,,3,0,Liberada,1,0.10714285714285714,0.5064715813168261,93.64405852560495,Excelente
SEFAZ,GESTÃO DE PROJETOS,3.0.0,05/11/2025,01/12/2025,27,17/11/2025,19/11/2025,24/11/2025,28/11/2025,Liberada/Atrasada,198,3643,5.44,01/12/2025,5,0,Liberada,1,0.18518518518518517,5.43508097721658,84.19347570683503,Excelente
SEDUR,LICENCIAMENTO DE EVENTOS,36.0.0,17/11/2025,24/11/2025,8,24/11/2025,,,,Liberada,0,2170,0.0,,2,0,Liberada,0,0.25,0.0,97.0,Excelente
SEDUR,FISCALIZAÇÃO,15.0.0,05/11/2025,25/11/2025,21,13/11/2025,25/11/2025,,,Liberada/Atrasada,78,3381,2.04,,3,0,Liberada,1,0.14285714285714285,2.3070097604259097,92.49189707187223,Excelente
SEDUR,FISCALIZAÇÃO,16.0.0,12/11/2025,,20,19/11/2025,24/11/2025,,,Correção/Atrasada,93,3172,2.93,,3,0,Em Correção,1,0.15,2.9319041614123584,91.94842875157629,Excelente
SEMED,SIE - CORUÍPE,26.0.0,14/11/2025,01/12/2025,18,28/11/2025,,,,Liberada/Atrasada,0,3715,0.0,,2,0,Liberada,1,0.1111111111111111,0.0,97.0,Excelente
LIVE,SIGSUAS,16.0.0,17/11/2025,01/12/2025,15,28/11/2025,,,,Liberada,491,3676,13.36,,2,0,Liberada,0,0.13333333333333333,13.356909684439607,87.64892709466812,Excelente
SEDUR,CONTRATOS,5.0.0,30/10/2025,,33,14/11/2025,26/11/2025,,,Correção/Atrasada,483,9213,5.24,,3,0,Em Correção,1,0.09090909090909091,5.2425919895799415,90.33122240312602,Excelente
SMED,SIE - SALVADOR,61.0.0,21/10/2025,25/11/2025,36,07/11/2025,24/11/2025,,,Liberada/Atrasada,277,2770,10.0,,3,0,Liberada,1,0.08333333333333333,10.0,87.0,Excelente
SMED,SIE - SALVADOR,62.0.0 Supl,10/11/2025,24/11/2025,15,24/11/2025,,,,Liberada/Sem QA,3271,585,46.5,,2,0,Liberada,0,0.13333333333333333,559.1452991452991,0.0,Crítico
SEMOB,SEMOB,36.1.0,30/10/2025,24/11/2025,26,17/11/2025,24/11/2025,,,Liberada/Atrasada,4,5842,0.07,,3,0,Liberada,1,0.11538461538461539,0.06846970215679561,93.95145908935297,Excelente
