Projeto,Mes,MesNome,Ciclos,MediaRetrabalho,Corretivas
AGENDAMENTO,4,Apr,1,54.5,6.0
ALIMENTAÇÃO,4,Apr,2,16.2,3.0
ALIMENTAÇÃO,5,May,1,10.0,1.0
ALIMENTAÇÃO,7,Jul,2,31.2,8.0
CADASTRO DE FORNECEDORES,5,May,1,0.0,0.0
CADASTRO DE FORNECEDORES,6,Jun,1,0.0,0.0
CADASTRO DE FORNECEDORES,7,Jul,2,0.0,0.0
CONSELHO ESCOLAR,7,Jul,1,75.3,70.0
CONSELHO ESCOLAR,8,Aug,1,55.6,10.0
CONSELHO ESCOLAR,9,Sep,1,45.5,10.0
CONTRATOS,3,Mar,3,41.1,8.0
CONTRATOS,4,Apr,2,20.7,33.0
CONTRATOS,5,May,5,34.9,51.0
CONTRATOS,6,Jun,1,8.0,4.0
CONTRATOS,7,Jul,6,14.5,30.0
CONTRATOS,8,Aug,4,9.7,13.0
EDUCAÇÃO,5,May,1,47.2,83.0
EDUCAÇÃO,9,Sep,2,37.9,15.0
EDUCAÇÃO,10,Oct,1,16.7,2.0
FILM COMMISSION,6,Jun,1,33.3,2.0
FISCALIZAÇÃO,7,Jul,1,42.6,20.0
FISCALIZAÇÃO,8,Aug,5,30.7,52.0
FISCALIZAÇÃO,9,Sep,3,6.1,3.0
FISCALIZAÇÃO,10,Oct,2,20.7,9.0
FOLHA DE PAGAMENTO,5,May,1,69.1,56.0
FOLHA DE PAGAMENTO,6,Jun,2,72.6,106.0
FOLHA DE PAGAMENTO,7,Jul,1,60.0,48.0
FOLHA DE PAGAMENTO,8,Aug,1,14.3,5.0
FOLHA DE PAGAMENTO,9,Sep,1,0.0,0.0
FROTAS,3,Mar,1,81.4,35.0
FROTAS,4,Apr,1,64.3,9.0
GESTÃO DE PESSOAS,4,Apr,2,7.1,1.0
GESTÃO DE PESSOAS,5,May,1,47.2,17.0
INTELIGÊNCIA ARTIFICIAL,4,Apr,1,29.4,10.0
INTELIGÊNCIA ARTIFICIAL,5,May,1,0.0,0.0
LICENCIAMENTO DE EVENTOS,3,Mar,1,32.0,8.0
LICENCIAMENTO DE EVENTOS,4,Apr,2,20.0,6.0
LICENCIAMENTO DE EVENTOS,5,May,1,0.0,0.0
LICENCIAMENTO DE EVENTOS,6,Jun,1,44.6,29.0
PATRIMÔNIO,7,Jul,1,100.0,87.0
PLANO EDUCACIONAL,3,Mar,1,12.5,1.0
PLANO EDUCACIONAL,4,Apr,1,42.4,14.0
PLANO EDUCACIONAL,5,May,1,37.5,18.0
RHWEB,2,Feb,1,23.8,5.0
RHWEB,8,Aug,1,50.0,4.0
SGCI,9,Sep,1,22.2,2.0
SIE - CORURIPE,2,Feb,1,0.0,0.0
SIE - CORURIPE,7,Jul,1,12.0,3.0
SIE - CORURIPE,9,Sep,1,18.2,2.0
SIE - SALVADOR,8,Aug,1,,0.0
SIE - SALVADOR,9,Sep,1,4.3,1.0
SIE - SERRINHA,7,Jul,1,,0.0
SIE SERRINHA,7,Jul,1,0.0,0.0
SIGSUAS,1,Jan,1,5.9,1.0
SIGSUAS,2,Feb,4,27.1,11.0
SIGSUAS,3,Mar,2,12.7,6.0
SIGSUAS,4,Apr,2,28.2,24.0
SIGSUAS,5,May,1,65.2,75.0
SIGSUAS,6,Jun,1,45.8,22.0
SIGSUAS,7,Jul,2,58.1,34.0
SIGSUAS,8,Aug,3,36.6,39.0
SIGSUAS,9,Sep,3,20.8,17.0
SIGSUAS,10,Oct,1,90.9,10.0
SISTEMA DE SINALIZAÇÃO,8,Aug,1,68.0,17.0
SYSMOBI,2,Feb,1,58.3,28.0
SYSMOBI,3,Mar,2,63.3,286.0
SYSMOBI,5,May,5,22.6,47.0
SYSMOBI,6,Jun,2,32.3,26.0
SYSMOBI,7,Jul,4,28.5,42.0
SYSMOBI,8,Aug,5,18.7,9.0
SYSMOBI,9,Sep,6,14.8,11.0
SYSMOBI,10,Oct,1,10.0,1.0
