Projeto,DataInicio,DataFim,NumCiclos,Cliente,DuracaoDias
SIGSUAS,2025-01-28,2025-10-14,20,LIVE,259
SYSMOBI,2025-02-17,2025-10-06,26,SEMOB,231
SIE - CORURIPE,2025-02-17,2025-09-02,3,SEMED,197
RHWEB,2025-02-18,2025-08-27,2,SEFAZ,190
FROTAS,2025-03-07,2025-04-04,2,SEFAZ,28
PLANO EDUCACIONAL,2025-03-11,2025-05-05,3,SMED,55
CONTRATOS,2025-03-17,2025-08-25,21,PRODEB,161
LICENCIAMENTO DE EVENTOS,2025-03-31,2025-06-30,5,SEDUR,91
GESTÃO DE PESSOAS,2025-04-07,2025-05-07,3,SMED,30
ALIMENTAÇÃO,2025-04-09,2025-07-17,5,SMED,99
INTELIGÊNCIA ARTIFICIAL,2025-04-23,2025-05-23,2,SEDUR,30
AGENDAMENTO,2025-04-28,2025-04-28,1,SEFAZ,0
EDUCAÇÃO,2025-05-07,2025-10-10,4,LIVE,156
CADASTRO DE FORNECEDORES,2025-05-26,2025-07-22,4,PRODEB,57
FOLHA DE PAGAMENTO,2025-05-26,2025-09-15,6,CMS,112
FILM COMMISSION,2025-06-14,2025-06-14,1,SECULT,0
PATRIMÔNIO,2025-07-09,2025-07-09,1,TRANSALVADOR,0
CONSELHO ESCOLAR,2025-07-15,2025-09-11,3,SMED,58
SIE - SERRINHA,2025-07-15,2025-07-15,1,SEMED,0
SIE SERRINHA,2025-07-15,2025-07-15,1,SEMED,0
FISCALIZAÇÃO,2025-07-23,2025-10-07,11,CODECON,76
SIE - SALVADOR,2025-08-25,2025-09-10,2,SMED,16
SISTEMA DE SINALIZAÇÃO,2025-08-27,2025-08-27,1,TRANSALVADOR,0
SGCI,2025-09-08,2025-09-08,1,SEMOP,0
